condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_amplitude,edm_response,beam_dB,edm_response_dB
A_PA1_to_C1,88,-16.149966852743823,186.43715117384284,-66.03517405,-6.072384412556119,172.78913530451928,-51.8,0.9043649058912878,0.9043649058912878,-0.04627472977483808,-0.04627472977483808
A_PA1_to_C1,89,-14.614210801030048,186.50674026493556,-65.98230712,-4.567092886372943,172.83756229529203,-51.8,0.9057851336276741,0.9057851336276741,-0.03264498236040164,-0.03264498236040164
A_PA1_to_C1,90,-13.067797502611946,186.5703765258026,-65.92467608,-3.061340201994749,172.8697587191065,-51.8,0.9072558770477115,0.9072558770477115,-0.018552948303512125,-0.018552948303512125
A_PA1_to_C1,91,-11.533964336920368,186.6250564397319,-65.87948139,-1.555472591215059,172.893932818502,-51.8,0.9081785188900908,0.9081785188900908,-0.009724244907485512,-0.009724244907485512
A_PA1_to_C1,92,-9.990029023332182,186.67257841577825,-65.83833691,-0.049397240592256,172.9,-51.8,0.9088976357329024,0.9088976357329024,-0.0028492772912525294,-0.0028492772912525294
A_PA1_to_C1,93,-8.457754153020502,186.7124094879063,-65.80081948,1.4566805945824892,172.8946334709604,-51.8,0.9091958350313639,0.9091958350313639,0.0,0.0
A_PA1_to_C1,94,-6.915600971120843,186.7438895660002,-65.77616329,2.9625680750318857,172.87186025372273,-51.8,0.9091059784466694,0.9091059784466694,-0.0008584761591947102,-0.0008584761591947102
A_PA1_to_C1,95,-5.373589645022878,186.76903409992192,-65.74641227,4.46832107978627,172.8396788340046,-51.8,0.909060404058649,0.909060404058649,-0.0012939193711688146,-0.0012939193711688146
A_PA1_to_C1,96,-3.843236030686029,186.78552779633588,-65.72927873,5.973651988992262,172.79263645429106,-51.8,0.9083096818609482,0.9083096818609482,-0.008469882681541233,-0.008469882681541233
A_PA1_to_C1,97,-2.3021215604803857,186.79581096535009,-65.70713807,7.478802801449675,172.7392623120053,-51.8,0.9078754414089072,0.9078754414089072,-0.012623385170200917,-0.012623385170200917
A_PA1_to_C1,98,-0.761428143220999,186.79752843210727,-65.69766419,8.983182484753183,172.66784087576232,-51.8,0.9068535429498858,0.9068535429498858,-0.022405670294939218,-0.022405670294939218
A_PA1_to_C1,99,0.7681969621461282,186.79186775718767,-65.69203515,10.4869172253883,172.58357916451698,-51.8,0.9054021757602649,0.9054021757602649,-0.03631807547967634,-0.03631807547967634
A_PA1_to_C1,100,2.3086781510618297,186.77874921012187,-65.69017018,11.989901520679268,172.486887115408,-51.8,0.9039155301215428,0.9039155301215428,-0.050591790718087844,-0.050591790718087844
A_PA1_to_C1,101,3.849371781510148,186.75706673846204,-65.70096938,13.491430288730486,172.36967333445688,-51.8,0.9018203549109224,0.9018203549109224,-0.07074808153491417,-0.07074808153491417
A_PA1_to_C1,102,5.379092853185161,186.72926124414,-65.70684109999999,14.992616730180735,172.24839987505464,-51.8,0.8997158579583424,0.8997158579583424,-0.0910412473985643,-0.0910412473985643
A_PA1_to_C1,103,6.920259508169109,186.6927291454786,-65.72524465,16.492262164174925,172.10914708475516,-51.8,0.8972733348201468,0.8972733348201468,-0.11465352015715716,-0.11465352015715716
A_PA1_to_C1,104,8.46135158794173,186.64987421780427,-65.73855252,17.99129715857533,171.96378959015263,-51.8,0.8949694214421624,0.8949694214421624,-0.1369848123773351,-0.1369848123773351
A_PA1_to_C1,105,9.992367646964308,186.5987569505228,-65.76479416,19.48841008696119,171.79961027577588,-51.8,0.8919230508895022,0.8919230508895022,-0.16660099182010724,-0.16660099182010724
A_PA1_to_C1,106,11.534824305695876,186.5398818869534,-65.79457685,20.984182525070064,171.6236611300274,-51.8,0.8889065296464201,0.8889065296464201,-0.19602682341446298,-0.19602682341446298
A_PA1_to_C1,107,13.066980952251823,186.4739447481144,-65.82848378,22.477900386918456,171.4312135189182,-51.8,0.8854066059505991,0.8854066059505991,-0.230293593785558,-0.230293593785558
A_PA1_to_C1,108,14.61149981307412,186.3989829164263,-65.87473388,23.970208937189767,171.227885109305,-51.8,0.8817955281468585,0.8817955281468585,-0.26579091050716613,-0.26579091050716613
A_PA1_to_C1,109,16.14516404009317,186.31817388577417,-65.91629798999999,25.460707017467588,171.01189394737986,-51.8,0.8779873480907137,0.8779873480907137,-0.30338359738841547,-0.30338359738841547
A_PA1_to_C1,110,17.68060295109744,186.22876135770028,-65.97058326,26.94998050743093,170.78741301686296,-51.8,0.8739411613629955,0.8739411613629955,-0.3435048622353797,-0.3435048622353797
A_PA1_to_C1,111,19.21606262014,186.13306754571087,-66.01983053000001,28.43650206877992,170.5455829885367,-51.8,0.8697887553749971,0.8697887553749971,-0.3848729754673805,-0.3848729754673805
A_PA1_to_C1,112,20.75359870382682,186.02872005949905,-66.08179346,29.92090904437166,170.29092217938907,-51.8,0.8653089717851364,0.8653089717851364,-0.4297246189401488,-0.4297246189401488
A_PA1_to_C1,113,22.292326403496784,185.9168727063508,-66.14759056,31.40344175061447,170.02556803046502,-51.8,0.8607326133980763,0.8607326133980763,-0.4757835753163337,-0.4757835753163337
A_PA1_to_C1,114,23.82146764491476,185.79823288664645,-66.21781702999999,32.88359359360069,169.74724187955928,-51.8,0.8558193241053776,0.8558193241053776,-0.5255069820716032,-0.5255069820716032
A_PA1_to_C1,115,25.364144541990733,185.67014247009328,-66.30018687,34.35961459166081,169.44775935821374,-51.8,0.8506249291333235,0.8506249291333235,-0.5783866243231455,-0.5783866243231455
A_PA1_to_C1,116,26.896110745974703,185.5365152045716,-66.37817127,35.83496895014766,169.14511628828882,-51.8,0.8454846836687051,0.8454846836687051,-0.6310338602942336,-0.6310338602942336
