condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_amplitude,edm_response,beam_dB,edm_response_dB
B_PA2_to_C2,78,-21.23184651613896,158.58352907671264,-95.10029003,-27.62,201.41,-51.8,0.32735211045476764,0.32735211045476764,-0.49572417885086645,-0.49572417885086645
B_PA2_to_C2,79,-20.19430012567205,158.70896974182116,-95.11072037,-26.28,201.59,-51.8,0.32727336119671835,0.32727336119671835,-0.4978139458929867,-0.4978139458929867
B_PA2_to_C2,80,-19.15790057254508,158.8270573174106,-95.12055218,-24.94,201.76,-51.8,0.32719917375834945,0.32719917375834945,-0.49978311608897463,-0.49978311608897463
B_PA2_to_C2,81,-18.12121263081032,158.9369806649743,-95.1407063,-23.6,201.93,-51.8,0.3270471053646159,0.3270471053646159,-0.5038208900934809,-0.5038208900934809
B_PA2_to_C2,82,-17.087021206678763,159.04043440275342,-95.14932429,-22.26,202.08,-51.8,0.3269820666287433,0.3269820666287433,-0.5055483949450738,-0.5055483949450738
B_PA2_to_C2,83,-16.04622962954803,159.13740145823894,-95.15627474,-20.91,202.22,-51.8,0.32692971944638716,0.32692971944638716,-0.5069390468937386,-0.5069390468937386
B_PA2_to_C2,84,-15.012787654632634,159.22540160124373,-95.1746673,-19.57,202.36,-51.8,0.32679116613705644,0.32679116613705644,-0.5106209202999441,-0.5106209202999441
B_PA2_to_C2,85,-13.9738417645951,159.30772185095043,-95.18058852,-18.22,202.48,-51.8,0.32674657661194134,0.32674657661194134,-0.5118061607824158,-0.5118061607824158
B_PA2_to_C2,86,-12.934696662279215,159.3818151061698,-95.19698282,-16.87,202.6,-51.8,0.3266232626250844,0.3266232626250844,-0.5150848297048681,-0.5150848297048681
B_PA2_to_C2,87,-11.904062908449497,159.4480551057709,-95.2136303,-15.53,202.71,-51.8,0.3264980335891982,0.3264980335891982,-0.5184156829623666,-0.5184156829623666
B_PA2_to_C2,88,-10.867494001970242,159.508542064274,-95.21800348,-14.18,202.8,-51.8,0.32646515780741325,0.32646515780741325,-0.5192903277091234,-0.5192903277091234
B_PA2_to_C2,89,-9.830788316601897,159.56083041001696,-95.23284711,-12.83,202.89,-51.8,0.3263537483222132,0.3263537483222132,-0.5222549799071212,-0.5222549799071212
B_PA2_to_C2,90,-8.794124828626913,159.60491201213898,-95.2581659,-11.48,202.98,-51.8,0.3261637205973275,0.3261637205973275,-0.5273140318767928,-0.5273140318767928
B_PA2_to_C2,91,-7.758880587582189,159.6427071228763,-95.27200573,-10.13,203.05,-51.8,0.3260598842021637,0.3260598842021637,-0.5300796830117426,-0.5300796830117426
B_PA2_to_C2,92,-6.724238042945132,159.67328470192075,-95.28533538,-8.779999999999998,203.11,-51.8,0.3259599896533412,0.3259599896533412,-0.5327411756075882,-0.5327411756075882
B_PA2_to_C2,93,-5.690136845382677,159.69665881387945,-95.29815112,-7.429999999999999,203.16,-51.8,0.3258640544546459,0.3258640544546459,-0.5352979470609354,-0.5352979470609354
B_PA2_to_C2,94,-4.6561569405006695,159.71186714412633,-95.32143025,-6.08,203.21,-51.8,0.3256898501665585,0.3256898501665585,-0.539942595020615,-0.539942595020615
B_PA2_to_C2,95,-3.623035609109431,159.7208673058525,-95.33320894,-4.73,203.24,-51.8,0.32560177407702,0.32560177407702,-0.5422918320433859,-0.5422918320433859
B_PA2_to_C2,96,-2.590072959507164,159.72171951744016,-95.35544418,-3.38,203.27,-51.8,0.32543569987090953,0.32543569987090953,-0.5467232275160498,-0.5467232275160498
B_PA2_to_C2,97,-1.5575664626741164,159.71540891513564,-95.37715206,-2.03,203.29,-51.8,0.3252736729329221,0.3252736729329221,-0.5510488087652462,-0.5510488087652462
B_PA2_to_C2,98,-0.5254540393079976,159.7019442156427,-95.3983297,-0.68,203.3,-51.8,0.32511575936319115,0.32511575936319115,-0.5552666505624181,-0.5552666505624181
B_PA2_to_C2,99,0.5139682198166667,159.6811493924184,-95.4191666,0.68,203.3,-51.8,0.3249605355100512,0.3249605355100512,-0.5594146476323779,-0.5594146476323779
B_PA2_to_C2,100,1.5454766983507184,159.6533354493028,-95.43935444,2.03,203.29,-51.8,0.32481028845760523,0.32481028845760523,-0.5634315387918815,-0.5634315387918815
